"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.209504067267014,0.0705598138567703,0.00302421065937975,0.00497868733150208
"mouth","Linear",-0.111696057589958,0.0705598138567703,0.113591700837273,0.00497868733150208
"jaw²","Quadratic",0.00802740519586632,0.109794263040979,0.941723937288164,0.0120547801967116
"mouth²","Quadratic",0.104422637550581,0.0959929767032002,0.27681762554321,0.00921465157634114
"jaw × mouth","Correlational",0.0249311647513309,0.0683298901694085,0.715253909230157,0.00466897389056342
