"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",-0.125556255687065,0.0710553986333907,0.0773887977467498,0.00504886967495006
"SL","Linear",-0.0739019526148279,0.0710553986333907,0.298446567084017,0.00504886967495006
"nasal²","Quadratic",-0.00136678788417628,0.0921357500645917,0.988165806535125,0.0084889964399649
"SL²","Quadratic",0.191308831547975,0.091691492837831,0.0370747378919488,0.00840732985883002
"nasal × SL","Correlational",0.0531231620663139,0.0700148238556316,0.448103309720054,0.00490207555953511
