"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"eye","Linear",0.00998082439871983,0.00850892963681442,0.241024141511983,7.24018835642588e-05
"mouth","Linear",-0.0126539345361246,0.00850892963681441,0.137272293987753,7.24018835642586e-05
"eye²","Quadratic",-0.0145385737454571,0.0110615922571236,0.177902380031239,0.000122358823262857
"mouth²","Quadratic",0.00499638997859843,0.0114697519935762,0.715161708291579,0.000131555210794144
"eye × mouth","Correlational",0.00123433700685566,0.00882966163546589,0.829847469234607,7.79629245968182e-05
