"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"body","Linear",0.00193688633252302,0.0102435435252159,0.847499539472611,0.000104930183952993
"SL","Linear",-0.0486246247268912,0.0102435435252159,3.52675512501627e-06,0.000104930183952993
"body²","Quadratic",-0.00267026583744995,0.0164088129780523,0.856865950820973,0.000269249143348698
"SL²","Quadratic",0.0202310488942889,0.0151097159601167,0.565436652817956,0.000228303516395407
"body × SL","Correlational",0.00955425514777994,0.0129295546065952,0.466293643935927,0.000167173382324927
