"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.307752348269503,0.0858371553115353,0.000345360989217721,0.00736801723197662
"body","Linear",0.17907585711369,0.0858371553115353,0.0370937863816712,0.00736801723197662
"jaw²","Quadratic",0.135051840681421,0.149516809977103,0.366507475941174,0.0223552764657292
"body²","Quadratic",0.217499931671543,0.14339994174288,0.129503234470466,0.0205635432918614
"jaw × body","Correlational",0.142018818727007,0.118587583586211,0.231230940579018,0.0140630149808166
