"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"body","Linear",-0.0053031835941747,0.0708639924424862,0.94035317131404,0.00502170542488874
"nasal","Linear",-0.118066708887809,0.0708639924424862,0.095861105617492,0.00502170542488874
"body²","Quadratic",0.111863962359118,0.100068532971855,0.263765459811899,0.0100137112911392
"nasal²","Quadratic",0.0110644148635088,0.0919613098585615,0.904245849527981,0.00845688251090236
"body × nasal","Correlational",0.0170560422183626,0.0683403385354469,0.802943582003218,0.00467040187113949
