"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",-0.0230424218411509,0.00847669318317126,0.00769146405881526,7.18543273216221e-05
"SL","Linear",-0.0499856800752722,0.00847669318317126,8.40133273321425e-09,7.18543273216221e-05
"nasal²","Quadratic",0.0185931436005978,0.0109465414839121,0.196348082019648,0.00011982677045901
"SL²","Quadratic",0.0344535742179069,0.0108937597986396,0.0493236951710343,0.000118674002550455
"nasal × SL","Correlational",0.0245407734070355,0.00831837992621946,0.0382344901742288,6.91954445969309e-05
