"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.0437990445107047,0.0088538807590727,1.13930383821057e-06,7.83912044958778e-05
"eye","Linear",0.023086497928363,0.00885388075907272,0.00965184621780231,7.8391204495878e-05
"jaw²","Quadratic",0.0161023166735199,0.0136361673229301,0.637471067809269,0.000185945059258945
"eye²","Quadratic",-0.00917588015774827,0.0112943372132788,0.240553983861041,0.000127562053087254
"jaw × eye","Correlational",0.0181546770761755,0.00899641313561506,0.0864045553827983,8.09354493066672e-05
