"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.0288170299306194,0.0134308787227537,0.0732356446561339,0.000180388503265319,"Crescent Pond"
"nasal²","Quadratic",0.0574260367524172,0.0148152241567129,0.00275989029954688,0.00021949086681365,"Crescent Pond"
"nasal","Linear",0.0053076187428154,0.0114029126211306,0.606724479231334,0.000130026416245139,"Little Lake"
"nasal²","Quadratic",-0.0230172611824015,0.0165558853320761,0.158050521064775,0.000274097339128852,"Little Lake"
