"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.0387337729026381,0.00890004883400853,1.49290517378608e-05,7.92108692477366e-05
"jaw²","Quadratic",0.00851067252300987,0.0131697770385805,0.916732926378334,0.000173443027245922
