"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"body","Linear",0.00254775498421842,0.0706844496001426,0.971251085530779,0.0049962914152751
"mouth","Linear",-0.104234433420397,0.0706844496001426,0.140477202058872,0.0049962914152751
"body²","Quadratic",0.10607896288394,0.0994899308965982,0.286458981772469,0.00989824634980989
"mouth²","Quadratic",0.0885440431473214,0.095585801540356,0.354394490362797,0.00913664545611233
"body × mouth","Correlational",0.089032392310613,0.068948526058125,0.196764428412936,0.00475389924558794
