"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.202158486576387,0.0705477745305155,0.0042095231098737,0.00497698849120845
"nasal","Linear",-0.111552151671067,0.0705477745305155,0.11399563894641,0.00497698849120845
"jaw²","Quadratic",0.0264996970524475,0.110475773220532,0.810458372521133,0.0122048964686744
"nasal²","Quadratic",0.020960102475555,0.0922896701063961,0.82036153315409,0.00851738320834742
"jaw × nasal","Correlational",0.0575461906380626,0.0708821111721033,0.416977205338964,0.00502427368421441
