"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"mouth","Linear",0.00273249872777463,0.0150560024768775,0.856025142251952,0.00022668321058374,"Crescent Pond"
"mouth²","Quadratic",-0.0521313524652416,0.0200897404184832,0.0096170524883032,0.000403597670082037,"Crescent Pond"
"mouth","Linear",0.0288301050524786,0.0184678062816251,0.118826174722435,0.000341059868855632,"Little Lake"
"mouth²","Quadratic",0.0139521606829818,0.0243526649118004,0.566830754017789,0.000593052288306434,"Little Lake"
