"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.0331794996481173,0.0103184642075282,0.00121950004709184,0.00010647070360204
"body","Linear",-0.00664500995854027,0.0103184642075282,0.585161774283123,0.00010647070360204
"jaw²","Quadratic",-0.00565308784670844,0.0179735284648057,0.481949268280993,0.000323047725475181
"body²","Quadratic",0.00861696959925098,0.0172382151221781,0.718716984484252,0.000297156060598491
"jaw × body","Correlational",-0.00956194751240066,0.014255502839351,0.486149040478089,0.000203219361202743
