"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",-0.0502156167285567,0.0130140930014131,0.000478442741014737,0.000169366616649428,"Crescent Pond"
"body²","Quadratic",0.0252933822026663,0.018215543867598,0.45893878212582,0.000331806038392388,"Crescent Pond"
"body","Linear",0.000644015186418565,0.0112767536675377,0.954419804826341,0.000127165173278325,"Little Lake"
"body²","Quadratic",0.00503915729215002,0.0156038470559796,0.746438311218204,0.000243480042946405,"Little Lake"
