"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"body","Linear",0.0554121623901786,0.0857590788644786,0.51826989397266,0.00735461960768387
"SL","Linear",-0.0918744756104042,0.0857590788644787,0.284169338743914,0.00735461960768387
"body²","Quadratic",0.027709117750409,0.137513813667901,0.840329195409329,0.0189100489494902
"SL²","Quadratic",0.148211117437308,0.126626750386732,0.241967284896641,0.0160343339135038
"body × SL","Correlational",0.0245490694852454,0.108355940515529,0.820791183289012,0.0117410098450049
