"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"eye","Linear",-0.149712951166828,0.0708245316382895,0.0346601131215863,0.00501611428178308
"body","Linear",0.0142552348821648,0.0708245316382895,0.840505232738581,0.00501611428178306
"eye²","Quadratic",-0.057213176973965,0.0924509185759948,0.536091529451545,0.00854717234554522
"body²","Quadratic",0.107606647300221,0.0991681505015944,0.278021244335881,0.00983432207390688
"eye × body","Correlational",-0.161313071317687,0.0734702459513278,0.028242019440645,0.0053978770401486
