"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"nasal","Linear",-0.0150126251484421,0.00958452515793596,0.118600573033017,9.18631225031074e-05
"mouth","Linear",-0.00585648901955639,0.00958452515793596,0.539591632917845,9.18631225031073e-05
"nasal²","Quadratic",0.0262717370114442,0.0147974528895689,0.121586515068092,0.000218964612019012
"mouth²","Quadratic",-0.00588391070325582,0.0147206253218745,0.709371898280817,0.000216696809867012
"nasal × mouth","Correlational",0.00362994610415225,0.0116398299985168,0.803560721572865,0.000135485642394371
