"trait","binary","continuous"
"jaw",0.0573499397655478,0.324935130499448
"eye",0.00416904283889293,-0.20806753603963
"body",-0.0538886608747751,-0.106516200608373
"nasal",-0.0459803501158855,-0.211371699318267
"mouth",-0.00950294776964868,-0.0548666373774037
"SL",-0.071173920033334,-0.105553543280484
