"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.252409187270599,0.0856536431611035,0.00325010100790486,0.00733654658676966
"SL","Linear",0.082643560279297,0.0856536431611036,0.334741481745242,0.00733654658676966
"jaw²","Quadratic",-0.175255496669835,0.152382359423569,0.250249139874247,0.0232203834634938
"SL²","Quadratic",0.0633651487868469,0.13105575211816,0.628799366396729,0.0171756101632566
"jaw × SL","Correlational",-0.173244018771886,0.120897939600822,0.15203243024376,0.0146163117997239
