"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"body","Linear",-0.0270385696267641,0.00850692076495009,0.00161501911282015,7.2367700901139e-05
"nasal","Linear",-0.0197079849123346,0.00850692076495009,0.0214728903147696,7.2367700901139e-05
"body²","Quadratic",0.0192628435306875,0.0119814722209008,0.206651687982411,0.000143555676580219
"nasal²","Quadratic",0.0235947875434494,0.0110107727848664,0.0757848532832348,0.000121237117319956
"body × nasal","Correlational",0.0154626231776237,0.00818257091826975,0.15770450642762,6.69544668325138e-05
