"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"Beak_PC1","Linear",-0.765409211782432,0.568482074198161,0.178170745985092,0.323171868684643
"PC.body1","Linear",0.787751517236819,0.56689150211593,0.164650865688176,0.321365975171255
"Beak_PC1²","Quadratic",-2.96832275347639,2.69788366827047,0.271227045745994,7.27857628752051
"PC.body1²","Quadratic",-5.64855577658353,3.49542752278408,0.106097721420698,12.2180135670365
"Beak_PC1 × PC.body1","Correlational",3.68032212299857,2.89338542249423,0.203380994989291,8.37167920310211
