"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"Beak_PC1","Linear",-1.47572827455361e-07,43691.9740543333,0.999999999997305,1908988596.76454
"PC.body1","Linear",4.60354079146197e-08,43691.9744793498,0.999999999999159,1908988633.90416
"Beak_PC1²","Quadratic",-3.73923980613574e-06,108825.262499253,0.999999999972585,11842937758.0312
"PC.body1²","Quadratic",-1.0141357864923e-06,115654.148114801,0.999999999993004,13375881976.1603
"Beak_PC1 × PC.body1","Correlational",2.06392762728927e-06,101438.433716069,0.999999999983766,10289755834.7694
