"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"Beak_PC1","Linear",-0.632783589442991,0.472579896245778,0.180571287123798,0.22333175833567
"PC.body1","Linear",0.125924929373963,0.470296249788173,0.788886671967752,0.22117856256482
"Beak_PC1²","Quadratic",-0.411712667078607,1.50599209728215,0.784558804189573,2.26801219707628
"PC.body1²","Quadratic",-1.04431855579443,1.52158862708174,0.492502286712417,2.31523195006448
"Beak_PC1 × PC.body1","Correlational",0.526808766765032,1.3500770839251,0.696383903127642,1.82270813253971
