"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"Beak_PC1","Linear",-0.391369642165724,0.266366615175114,0.141754312730473,0.0709511736798471
"PC.body1","Linear",0.490260564935097,0.268931870274224,0.0683046493660777,0.072324350849192
"Beak_PC1²","Quadratic",-1.22330174727523,0.783769314111778,0.118572573045541,0.614294337743246
"PC.body1²","Quadratic",-0.927171553515021,0.705310383280175,0.188658423397669,0.497462736762827
"Beak_PC1 × PC.body1","Correlational",1.14584849944074,0.69419011180202,0.0988148923336032,0.481899911323702
