"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"Beak_PC1","Linear",-0.384979108506153,0.38053697940942,0.311694277249877,0.144808392698045
"PC.body1","Linear",0.266300907311267,0.378599674844514,0.48181655123231,0.143337713792372
"Beak_PC1²","Quadratic",-0.212312556007557,1.0535177018795,0.840286301280265,1.10989954817347
"PC.body1²","Quadratic",-1.42271681850908,1.25124670829522,0.255521811189631,1.56561832501961
"Beak_PC1 × PC.body1","Correlational",0.724681724814364,1.03317319099764,0.483044938565499,1.06744684259625
