"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"Beak_PC1","Linear",-0.313422114842596,0.334421955506562,0.348652832250871,0.111838044324833
"PC.body1","Linear",0.246422678346832,0.331379472392259,0.457102245463944,0.109812354722972
"Beak_PC1²","Quadratic",-0.456166505850973,1.04405751370474,0.662171522414209,1.09005609192333
"PC.body1²","Quadratic",0.29933364107309,0.957641782584079,0.754604557318401,0.917077783750812
"Beak_PC1 × PC.body1","Correlational",-0.0573478033628712,0.927128441241396,0.950678068598861,0.859567146558702
