"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"TL","Linear",-0.892092749287653,0.282392198845561,0.00158281113461758,0.079745353968831
"HL","Linear",1.34484907515927,0.301920319288376,8.41603336064868e-06,0.0911558791991949
"WT","Linear",-0.757503697331267,0.274032387355643,0.00570476374837237,0.0750937493198331
"TL²","Quadratic",-0.537341986007749,0.629849144119277,0.393588285551038,0.396709944347785
"HL²","Quadratic",-0.240619778088035,0.662720029156572,0.716545812021283,0.439197837045288
"WT²","Quadratic",-0.213147204263085,0.59960017513913,0.722228359034652,0.359520370026876
"TL × HL","Correlational",0.14057334546973,0.454359017675485,0.75702620049041,0.206442116943031
"TL × WT","Correlational",-0.302227880235337,0.499250776029341,0.544937919356763,0.249251337365899
"HL × WT","Correlational",0.305584796937545,0.534757729393599,0.56769782197074,0.285965829146198
