"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"SLA","Linear",-0.0881785642181782,0.0603313773748249,0.15130103402027,0.00363987509594353
"deltaC13","Linear",-0.00169688535787948,0.0540490322586798,0.975103014797394,0.00292129788809981
"FDsnow","Linear",-0.106502460492457,0.0573952174660967,0.0705374143343047,0.00329421098798054
"height","Linear",0.0654817961081827,0.0579382886415924,0.264805559810151,0.00335684529071648
"SLA²","Quadratic",-0.00317423929158592,0.11258411524276,0.977682224811052,0.012675183004995
"deltaC13²","Quadratic",0.0201296835562432,0.0907878517319454,0.825939038029146,0.00824243402210171
"FDsnow²","Quadratic",0.251077124182269,0.0977262454408589,0.0150588662797741,0.009550419047967
"height²","Quadratic",-0.0989185212331775,0.118333270303028,0.40939207499307,0.0140027628606095
"SLA × deltaC13","Correlational",0.122424844057274,0.103526113258666,0.245699761817661,0.0107176561264462
"SLA × FDsnow","Correlational",0.0355388378991694,0.0930870285133141,0.705147541757324,0.00866519487743854
"SLA × height","Correlational",-0.14113327647184,0.0777646259301612,0.0789264781367424,0.0060473370460579
"deltaC13 × FDsnow","Correlational",0.0793891302406412,0.0612827928913953,0.204430859971732,0.00375558070456966
"deltaC13 × height","Correlational",-0.0323633094850103,0.0712542892109461,0.65275466218369,0.00507717373095714
"FDsnow × height","Correlational",-0.183031935219124,0.0776811059289721,0.0247524277862347,0.00603435421834819
