"Trait","S_2011","S_2012"
"SLA",0.0848995152711299,-0.0745157059262795
"deltaC13",-0.00642394246179183,-0.00223859161690406
"FDsnow",-0.185299201303204,-0.0518274863169748
"height",-0.203245825381072,0.073810218635867
